Target,Text,Text_es
spam,Thanks for your subscription to Ringtone UK your mobile will be charged Ã¥Â£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,"Gracias por tu suscripción a Ringtone UK, se te cobrará £5/mes en tu móvil. Por favor, confirma respondiendo SÍ o NO. Si respondes NO, no se te cobrará."
ham,Yup... Ok i go home look at the timings then i msg Ã_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,"Sí... Está bien, voy a casa, miro los horarios y luego le mando un mensaje a Í_ de nuevo... Xuhui también va a aprender el 2 de mayo, pero su clase es a las 8 a.m."
ham,"Oops, I'll let you know when my roommate's done","Ups, te avisaré cuando mi compañero de cuarto haya terminado."
ham,I see the letter B on my car,Veo la letra B en mi coche.
ham,Anything lor... U decide...,Cualquier cosa... Tú decides...
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,¡Hola! ¿Cómo estás y cómo te fue el sábado? Solo te escribía para ver si habías decidido hacer algo mañana. ¡No es que esté tratando de invitarme ni nada!
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,"Por favor, continúa con los vatios. Solo quería estar seguro. Que tengas un gran fin de semana. Abiola"
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy","¿Olvidé decirte? Te quiero, te necesito, te anhelo... Pero sobre todo... Te amo, mi dulce corcel árabe... Mmmmmm... Delicioso."
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,"07732584351 - Rodger Burns - MSG = Intentamos llamarte respecto a tu respuesta a nuestro sms para un móvil Nokia gratis + una cámara de video gratis. Por favor, llama ahora al 08000930705 para la entrega mañana."
ham,WHO ARE YOU SEEING?,¿A quién estás viendo?
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,¡Genial! Espero que te guste tu hombre bien dotado. Mido <#> pulgadas...
ham,No calls..messages..missed calls,Sin llamadas... mensajes... llamadas perdidas.
ham,Didn't you get hep b immunisation in nigeria.,¿No te vacunaste contra la hepatitis B en Nigeria?
ham,"Fair enough, anything going on?","Está bien, ¿hay algo pasando?"
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit","Sí, con suerte, si Tyler no puede hacerlo, tal vez podría preguntar un poco."
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,No sabes lo terco que soy. Ni siquiera quería ir al hospital. Seguía diciéndole a Mark que no soy un débil. Los hospitales son para los débiles.
ham,What you thinked about me. First time you saw me in class.,¿Qué pensaste de mí? La primera vez que me viste en clase.
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;","Un gramo generalmente se vende por <#>, aunque un medio octavo es más inteligente y te da casi un gramo entero por <#>."
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,"Para tu información, X tiene un viaje temprano mañana por la mañana, pero se quedará en nuestra casa esta noche."
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""","Vaya. Nunca me di cuenta de que estabas tan avergonzado por tu alojamiento. Pensé que te gustaba, ya que estaba haciendo lo mejor que podía y siempre parecías tan feliz con ""la cueva"". Lamento no haber tenido más para ofrecer. Lamento haberlo ofrecido. Lamento que tu habitación fuera tan embarazosa."
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,SMS. ac Sptv: Los New Jersey Devils y los Detroit Red Wings juegan hockey sobre hielo. ¿Correcto o Incorrecto? Fin. Responde FIN SPTV.
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,¿Sabes qué hizo Mallika Sherawat ayer? Descúbrelo ahora en @ &lt;URL&gt;
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ","¡Felicidades! Tu pase especial de cine para 2 personas por 1 año es tuyo. ¡Llama ahora al 09061209465! C Suprman V, Matrix3, StarWars3, etc. ¡todo GRATIS! bx420-ip4-5we. 150pm. ¡No te lo pierdas!"
ham,"Sorry, I'll call later in meeting.","Lo siento, llamaré más tarde en la reunión."
ham,Tell where you reached,Dime dónde llegaste.
ham,Yes..gauti and sehwag out of odi series.,Sí... Gautam y Sehwag fuera de la serie ODI.
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,Vas a tener que comprar una hamburguesa de $1 para ti en tu camino a casa. No puedo ni moverme. El dolor me está matando.
ham,Ha ha ha good joke. Girls are situation seekers.,"Ja ja ja, buen chiste. Las chicas son buscadoras de situaciones."
ham,Its a part of checking IQ,Es una parte de la evaluación del IQ.
ham,"Sorry my roommates took forever, it ok if I come by now?","Lo siento, mis compañeros de cuarto tardaron una eternidad, ¿está bien si paso ahora?"
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,"Está bien, ya verifiqué con la peluquera, dijo que cortará muy corto. Dijo que cortará hasta que me vea bien."
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a Ã¥Â£1500 Bonus Prize, call 09066364589","Como cliente valioso, me complace informarle que, tras una reciente revisión de su número de móvil, se le ha otorgado un premio de bonificación de £1500. Llame al 09066364589."
ham,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""","Hoy es el día dedicado a la canción. ¿Qué canción me dedicarás? Envía esto a todos tus valiosos amigos, pero primero respóndeme..."
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or Ã¥Â£1000. To claim txt DIS to 87121 18+6*Ã¥Â£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ","Urgente: UR ha otorgado un viaje gratuito a EuroDisinc Trav, Aco&Entry41 por £1000. Para reclamar, envía DIS al 87121 18+6*£1.50 (más desde móvil. Se aplican condiciones o suplemento individual) 10, LS1 3AJ."
spam,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""","¿Oíste hablar de la nueva ""Barbie del divorcio""? ¡Viene con todas las cosas de Ken!"
ham,I plane to give on this month end.,Planeo renunciar a finales de este mes.
ham,Wah lucky man... Then can save money... Hee...,"Vaya, hombre afortunado... Entonces puede ahorrar dinero... Jeje..."
ham,Finished class where are you.,"Terminó la clase, ¿dónde estás?"
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,"Hola cariño, estoy en casa ahora. ¿Quieres hacer algo? XX"
ham,K..k:)where are you?how did you performed?,K..k:) ¿Dónde estás? ¿Cómo te fue?
ham,U can call me now...,Puedes llamarme ahora...
ham,I am waiting machan. Call me once you free.,"Estoy esperando, amigo. Llámame cuando estés libre."
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,Eso es genial. Soy un caballero y te trataré con dignidad y respeto.
ham,I like you peoples very much:) but am very shy pa.,"Me gustáis mucho, gente :) pero soy muy tímido."
ham,Does not operate after  &lt;#&gt;  or what,No opera después de <#> o qué.
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,No es lo mismo aquí. Sigo buscando trabajo. ¿Cuánto ganan los asistentes allí?
ham,"Sorry, I'll call later","Lo siento, llamaré más tarde."
ham,K. Did you call me just now ah? ,"K. ¿Me llamaste hace un momento, ah?"
ham,Ok i am on the way to home hi hi,"Ok, estoy en camino a casa, jaja."
ham,You will be in the place of that man,Estarás en el lugar de ese hombre.
ham,Yup next stop.,"Sí, próxima parada."
ham,"I call you later, don't have network. If urgnt, sms me.","Te llamo más tarde, no tengo señal. Si es urgente, mándame un mensaje."
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,"¿De verdad, cuándo te subes? Solo necesito 2 boletos más y una chaqueta más y ya estoy listo. Ya usé todos mis multis."
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,"Sí, empecé a enviar solicitudes para hacerlo, pero el dolor volvió, así que estoy de vuelta en la cama. También hay monedas dobles en la fábrica. Tengo que canjear todos mis nitros."
ham,I'm really not up to it still tonight babe,"Realmente no estoy en condiciones de hacerlo esta noche, cariño."
ham,"Ela kano.,il download, come wen ur free..","Ella puede, descarga, ven cuando estés libre."
ham,Yeah do! Donâ°ÃÃ·t stand to close tho- youâ°ÃÃ·ll catch something!,"¡Sí, hazlo! No te acerques demasiado, ¡te contagiarás de algo!"
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,"Lo siento por ser un inconveniente. ¿Está bien si nos reunimos otra noche? Pasé la tarde en urgencias y eso significa que no he hecho nada de mis cosas para mañana, y eso incluye todas mis hojas de tiempo y eso. Lo siento."
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,"Sonríe en el placer, sonríe en el dolor. Sonríe cuando los problemas caen como lluvia. Sonríe cuando alguien te lastima. Sonríe porque ALGUIEN todavía ama verte sonreír."
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed Ã¥Â£1000 cash or Ã¥Â£5000 prize!,"Por favor, llama a nuestro representante de servicio al cliente al 0800 169 6031 entre las 10 a.m. y las 9 p.m. ya que has GANADO un premio garantizado de £1000 en efectivo o un premio de £5000."
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,No tengo planes de comprar más tarde. Ya revisé y solo hay 530 funciones en la tarde. ¿Ya terminaste de trabajar?
spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML","Tu tono de llamada gratuito está esperando a ser recogido. Simplemente envía el mensaje de texto con la contraseña ""MIX"" al 85069 para verificar. Consigue a Usher y Britney. FML"
ham,Watching telugu movie..wat abt u?,Viendo una película en telugu.. ¿y tú?
ham,i see. When we finish we have loads of loans to pay,"Entiendo. Cuando terminemos, tenemos un montón de préstamos que pagar."
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""","Hola. He estado bien, ¡de vacaciones ahora! Sí, voy a salir a correr un poco. Olvidé que tengo una cita con el peluquero a las cuatro, así que necesito llegar a casa y ducharme antes. ¿Eso te causa algún problema?"
ham,Please don't text me anymore. I have nothing else to say.,"Por favor, no me envíes más mensajes. No tengo nada más que decir."
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,"Está bien, dime tu precio siempre que sea legal. ¿Cuándo puedo recogerlos? Tú tienes exámenes. xx"
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,Todavía estoy buscando un coche para comprar. Y no he ido a hacer el examen de conducir aún.
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,"Según tu solicitud, 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' ha sido configurada como tu tono de llamada para todos los que te llamen. Presiona *9 para copiar el tono de llamada de tus amigos."
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.","¡Vaya! Tienes razón. No quise hacer eso. Supongo que una vez que dejé de lado a los hombres de Boston y cambié mi ubicación de búsqueda a Nueva York, algo cambió. Porque en mi página de inicio de sesión todavía dice Boston."
ham,Umma my life and vava umma love you lot dear,"Mamá, mi vida, y papá, mamá, te quiero mucho, querido."
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,Muchas gracias por tus deseos en mi cumpleaños. Gracias por hacer que mi cumpleaños sea realmente memorable.
ham,"Aight, I'll hit you up when I get some cash","Está bien, te contactaré cuando tenga algo de dinero."
ham,How would my ip address test that considering my computer isn't a minecraft server,¿Cómo probaría mi dirección IP eso considerando que mi computadora no es un servidor de Minecraft?
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,"¡Lo sé! Personas mayores gruñonas. Mi mamá decía que más vale que no estés mintiendo. Aunque, por otro lado, siempre soy yo el que hace bromas..."
ham,Dont worry. I guess he's busy.,No te preocupes. Supongo que está ocupado.
ham,What is the plural of the noun research?,¿Cuál es el plural del sustantivo investigación?
ham,Going for dinner.msg you after.,Voy a cenar. Te mensajeo después.
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,Estoy bien con eso porque me gusta probar cosas nuevas. Pero tengo miedo de que no te guste. Porque dijiste que no demasiado alto.
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a Ã¥Â£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,¡ATENCIÓN! Estamos tratando de contactarte. El sorteo del último fin de semana muestra que ganaste un premio de £1000 GARANTIZADO. Llama al 09064012160. Código de reclamación K52. Válido solo por 12 horas. 150ppm.
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?","Bueno, tu oración de apertura es muy formal... De todos modos, yo también estoy bien, solo que estoy comiendo demasiado y ganando peso... Jaja... ¿Ha pasado algo especial?"
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.","Al entrar en mi cabaña, mi asistente me dijo: ""¡Feliz cumpleaños, jefe!"". Me sentí especial. Ella me preguntó sobre el almuerzo. Después del almuerzo, me invitó a su apartamento. Fuimos allí."
spam,You are a winner U have been specially selected 2 receive Ã¥Â£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,Eres un ganador. Has sido seleccionado especialmente para recibir £1000 o unas vacaciones de 4 estrellas (vuelos incluidos). Habla con un operador en vivo para reclamar 0871277810910p/min (18+).
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,"¡Genial! Sí, debemos hablar el viernes - ¡se necesita la proporción de huevo y papa para la tortilla!"
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,"Hmm... mi tío me acaba de informar que está pagando la escuela directamente. Así que, por favor, compra comida."
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,"¡PRIVADO! Su estado de cuenta de 2004 para 07742676969 muestra 786 Puntos de Bonificación no canjeados. Para reclamar, llame al 08719180248 Código de Identificación: 45239 Expira."
spam,"URGENT! Your Mobile No. was awarded Ã¥Â£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM","¡URGENTE! Su número de móvil fue premiado con un bono de £2000 en el concurso de llamadas el 5/9/03. ¡Este es nuestro último intento de contactarlo! Llame desde un teléfono fijo al 09064019788 BOX42WR29C, 150PPM."
ham,here is my new address -apples&pairs&all that malarky,aquí está mi nueva dirección -manzanas&pares&todas esas tonterías
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,"Los números de Voda de hoy que terminan en 7548 han sido seleccionados para recibir un premio de $350. Si tienes un número coincidente, por favor llama al 08712300220 mencionando el código de reclamación 4041, tarifas estándar aplican."
ham,I am going to sao mu today. Will be done only at 12 ,Voy a Sao Mu hoy. Estaré listo solo a las 12.
ham,ÃÃ predict wat time Ã_'ll finish buying?,¿Puedes predecir a qué hora terminaré de comprar?
ham,"Good stuff, will do.","Buen material, lo haré."
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.","Solo para que lo sepas, Yetunde no ha enviado dinero todavía. Acabo de enviarle un mensaje de texto para que no se moleste en enviar. Así que se acabó, no tienes que involucrarte en nada. No debí haberte impuesto nada en primer lugar, así que por eso, te pido disculpas."
ham,Are you there in room.,¿Estás ahí en la habitación?
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,"HOLA CHICA. ¿CÓMO ESTÁS? ESPERO QUE ESTÉS BIEN. YO Y DEL ESTAMOS DE VUELTA. ¡DE NUEVO, HACE TIEMPO QUE NO TE VEO! LLÁMAME ALGÚN DÍA. DE LUCYxx"
ham,K..k:)how much does it cost?,K..k:) ¿cuánto cuesta?
ham,I'm home.,Estoy en casa.
ham,"Dear, will call Tmorrow.pls accomodate.","Querido, llamaré mañana. Por favor, acomoda."
ham,First answer my question.,Primero responde a mi pregunta.
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. Ã¥Â£1.50 SP:Tyrone,¡Quiz de Sunshine Semanal! Gana un reproductor de DVD Sony de primera si sabes en qué país se encuentra el Algarve. Envía tu respuesta al 82277. £1.50 SP: Tyrone
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,¿Quieres tener sexo esta noche? ¿Quieres que te envíen directamente a tu móvil ubicaciones reales de Dogging? Únete a la red de Dogging más grande del Reino Unido enviando un mensaje de texto con la palabra GRAVEL al 69888. Nt. ec2a. 31p.msg@150p
ham,I only haf msn. It's yijue@hotmail.com,Solo tengo MSN. Es yijue@hotmail.com.
ham,He is there. You call and meet him,Él está allí. Lo llamas y te encuentras con él.
ham,No no. I will check all rooms befor activities,"No, no. Revisaré todas las habitaciones antes de las actividades."
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,"No recibirás más mensajes del servicio de chat. Para servicios Hardcore GRATIS, envía GO al: 69988 Si no recibes nada, debes verificar tu edad con tu operador y volver a intentarlo."
ham,Got c... I lazy to type... I forgot Ã_ in lect... I saw a pouch but like not v nice...,"Tengo c... Estoy demasiado perezoso para escribir... Olvidé Ã_ en la clase... Vi una bolsa, pero no era muy bonita..."
ham,"K, text me when you're on the way","K, mándame un mensaje cuando estés en camino."
ham,"Sir, Waiting for your mail.","Señor, esperando su correo."
ham,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""","Un dulce pensamiento: ""Nunca te canses de hacer pequeñas cosas por personas adorables..."" Porque a veces esas pequeñas cosas ocupan la mayor parte en sus corazones... Buenas noches."
ham,I know you are. Can you pls open the back?,"Sé que lo eres. ¿Puedes abrir la parte de atrás, por favor?"
ham,Yes see ya not on the dot,"Sí, nos vemos, no en el punto."
ham,Whats the staff name who is taking class for us?,¿Cuál es el nombre del personal que está dando clase para nosotros?
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end","Mensaje gratuito: ¿Por qué no has respondido a mi mensaje? Soy Randy, sexy, mujer y vivo cerca. Me encantaría saber de ti. Netcollex Ltd 08700621170150p por mensaje, responde ""Stop"" para finalizar."
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,"Umm, llamaré después del check-in. Nuestra vida comenzará desde Qatar, así que por favor reza con mucha fuerza."
ham,K..i deleted my contact that why?,"K.. eliminé mi contacto, ¿por qué?"
ham,Sindu got job in birla soft ..,Sindu consiguió un trabajo en Birla Soft.
ham,The wine is flowing and i'm i have nevering..,El vino está fluyendo y nunca he estado...
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,"Sí, creo que el cine es mejor porque no hay necesidad de ir a la plaza."
ham,Ok... Ur typical reply...,Está bien... Tu respuesta típica...
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,"Según tu solicitud, 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' ha sido configurada como tu tono de llamada para todos los que te llaman. Presiona *9 para copiar el tono de llamada de tus amigos."
